Date;Ethereum_popularity_index
2019-05-05;4
2019-05-05;5
2019-05-12;8
2019-05-19;6
2019-05-26;6
2019-06-02;5
2019-06-09;4
2019-06-16;6
2019-06-23;9
2019-06-30;6
2019-07-07;9
2019-07-14;12
2019-07-21;4
2019-07-28;4
2019-08-04;4
2019-08-11;4
2019-08-18;4
2019-08-25;4
2019-09-01;3
2019-09-08;4
2019-09-15;5
2019-09-22;4
2019-09-29;3
2019-10-06;4
2019-10-13;3
2019-10-20;4
2019-10-27;3
2019-11-03;3
2019-11-10;3
2019-11-17;3
2019-11-24;4
2019-12-01;3
2019-12-08;3
2019-12-15;4
2019-12-22;3
2019-12-29;4
2020-01-05;4
2020-01-12;5
2020-01-19;4
2020-01-26;4
2020-02-02;6
2020-02-09;8
2020-02-16;7
2020-02-23;6
2020-03-01;5
2020-03-08;6
2020-03-15;6
2020-03-22;5
2020-03-29;4
2020-04-05;5
2020-04-12;5
2020-04-19;6
2020-04-26;7
2020-05-03;7
2020-05-10;7
2020-05-17;6
2020-05-24;6
2020-05-31;7
2020-06-07;6
2020-06-14;5
2020-06-21;6
2020-06-28;6
2020-07-05;6
2020-07-12;6
2020-07-19;9
2020-07-26;15
2020-08-02;16
2020-08-09;13
2020-08-16;12
2020-08-23;9
2020-08-30;13
2020-09-06;10
2020-09-13;8
2020-09-20;7
2020-09-27;6
2020-10-04;6
2020-10-11;5
2020-10-18;7
2020-10-25;7
2020-11-01;8
2020-11-08;9
2020-11-15;12
2020-11-22;18
2020-11-29;14
2020-12-06;10
2020-12-13;13
2020-12-20;14
2020-12-27;24
2021-01-03;58
2021-01-10;46
2021-01-17;39
2021-01-24;38
2021-01-31;46
2021-02-07;52
2021-02-14;51
2021-02-21;50
2021-02-28;34
2021-03-07;38
2021-03-14;31
2021-03-21;29
2021-03-28;37
2021-04-04;36
2021-04-11;45
2021-04-18;48
2021-04-25;48
2021-05-02;86
2021-05-09;100
2021-05-16;84
2021-05-23;67
2021-05-30;45
2021-06-06;39
2021-06-13;33
2021-06-20;40
2021-06-27;32
2021-07-04;30
2021-07-11;27
2021-07-18;29
2021-07-25;32
2021-08-01;46
2021-08-08;47
2021-08-15;36
2021-08-22;35
2021-08-29;44
2021-09-05;41
2021-09-12;31
2021-09-19;33
2021-09-26;30
2021-10-03;34
2021-10-10;36
2021-10-17;44
2021-10-24;42
2021-10-31;47
2021-11-07;49
2021-11-14;45
2021-11-21;37
2021-11-28;43
2021-12-05;41
2021-12-12;39
2021-12-19;36
2021-12-26;37
2022-01-02;46
2022-01-09;47
2022-01-16;47
2022-01-23;53
2022-01-30;48
2022-02-06;46
2022-02-13;40
2022-02-20;40
2022-02-27;36
2022-03-06;31
2022-03-13;31
2022-03-20;33
2022-03-27;33
2022-04-03;30
2022-04-10;28
2022-04-17;26
2022-04-24;25
2022-05-01;25
2022-05-08;39
2022-05-15;26
2022-05-22;24
2022-05-29;24
2022-06-05;23
2022-06-12;48
2022-06-19;33
2022-06-26;25
2022-07-03;23
2022-07-10;22
2022-07-17;29
2022-07-24;26
2022-07-31;23
2022-08-07;29
2022-08-14;26
2022-08-21;24
2022-08-28;22
2022-09-04;26
2022-09-11;51
2022-09-18;28
2022-09-25;21
2022-10-02;17
2022-10-09;15
2022-10-16;15
2022-10-23;19
2022-10-30;19
2022-11-06;25
2022-11-13;21
2022-11-20;18
2022-11-27;15
2022-12-04;13
2022-12-11;14
2022-12-18;14
2022-12-25;13
2023-01-01;14
2023-01-08;17
2023-01-15;20
2023-01-22;17
2023-01-29;15
2023-02-05;13
2023-02-12;13
2023-02-19;12
2023-02-26;12
2023-03-05;14
2023-03-12;19
2023-03-19;19
2023-03-26;15
2023-04-02;16
2023-04-09;23
2023-04-16;18
2023-04-23;16
2023-04-30;15
2023-05-07;14
2023-05-14;12
2023-05-21;12
2023-05-28;11
2023-06-04;13
2023-06-11;13
2023-06-18;13
2023-06-25;13
2023-07-02;13
2023-07-09;13
2023-07-16;12
2023-07-23;12
2023-07-30;11
2023-08-06;11
2023-08-13;12
2023-08-20;11
2023-08-27;11
2023-09-03;10
2023-09-10;10
2023-09-17;9
2023-09-24;9
2023-10-01;10
2023-10-08;10
2023-10-15;10
2023-10-22;14
2023-10-29;14
2023-11-05;17
2023-11-12;16
2023-11-19;15
2023-11-26;14
2023-12-03;22
2023-12-10;17
2023-12-17;16
2023-12-24;17
2023-12-31;17
2024-01-07;23
2024-01-14;17
2024-01-21;15
2024-01-28;14
2024-02-04;15
2024-02-11;20
2024-02-18;21
2024-02-25;35
2024-03-03;40
2024-03-10;38
2024-03-17;28
2024-03-24;24
2024-03-31;20
2024-04-07;20
2024-04-14;18
2024-04-21;16
2024-04-28;16
2024-05-05;11